Color, R, G, B
White, 242, 243, 242
Grey, 161, 165, 162
Light yellow, 249, 233, 153
Brick yellow, 215, 197, 153
Light green, 194, 218, 184
Light reddish violet, 232, 186, 199
Light orange brown, 203, 132, 66
Nougat, 204, 142, 104
Bright red, 196, 40, 27
Med. reddish violet, 196, 112, 160
Bright blue, 13, 105, 171
Bright yellow, 245, 205, 47
Earth orange, 98, 71, 50
Black, 27, 42, 52
Dark grey, 109, 110, 108
Dark green, 40, 127, 70
Medium green, 161, 196, 139
Lig. Yellowich orange, 243, 207, 155
Bright green, 75, 151, 74
Dark orange, 160, 95, 52
Light bluish violet, 193, 202, 222
Light blue, 180, 210, 227
Light red, 238, 196, 182
Medium red, 218, 134, 121
Medium blue, 110, 153, 201
Light grey, 199, 193, 183
Bright violet, 107, 50, 123
Br. yellowish orange, 226, 155, 63
Bright orange, 218, 133, 64
Bright bluish green, 0, 143, 155
Earth yellow, 104, 92, 67
Bright bluish violet, 67, 84, 147
Medium bluish violet, 104, 116, 172
Med. yellowish green, 199, 210, 60
Med. bluish green, 85, 165, 175
Light bluish green, 183, 215, 213
Br. yellowish green, 164, 189, 70
Lig. yellowish green, 217, 228, 167
Med. yellowish orange, 231, 172, 88
Br. reddish orange, 211, 111, 76
Bright reddish violet, 146, 57, 120
Light orange  , 234, 184, 145
Gold, 220, 188, 129
Dark nougat, 174, 122, 89
Silver   , 156, 163, 168
Sand blue, 116, 134, 156
Sand violet, 135, 124, 144
Medium orange, 224, 152, 100
Sand yellow, 149, 138, 115
Earth blue, 32, 58, 86
Earth green, 39, 70, 44
Sand blue metallic, 121, 136, 161
Sand violet metallic, 149, 142, 163
Sand yellow metallic, 147, 135, 103
Dark grey metallic, 87, 88, 87
Black metallic, 22, 29, 50
Light grey metallic, 171, 173, 172
Sand green, 120, 144, 129
Sand red, 149, 121, 118
Dark red, 123, 46, 47
Gun metallic, 117, 108, 98
Curry, 215, 169, 75
Lemon metalic, 130, 138, 93
Fire Yellow, 249, 214, 46
Flame yellowish orange, 232, 171, 45
Reddish brown, 105, 64, 39
Flame reddish orange, 207, 96, 36
Medium stone grey, 163, 162, 164
Royal blue, 70, 103, 164
Dark Royal blue, 35, 71, 139
Bright reddish lilac, 142, 66, 133
Dark stone grey, 99, 95, 97
Light stone grey, 229, 228, 222
Dark Curry, 176, 142, 68
Faded green, 112, 149, 120
Turquoise, 121, 181, 181
Light Royal blue, 159, 195, 233
Medium Royal blue, 108, 129, 183
Rust, 143, 76, 42
Brown, 124, 92, 69
Reddish lilac, 150, 112, 159
Lilac, 107, 98, 155
Light lilac, 167, 169, 206
Bright purple, 205, 98, 152
Light purple, 228, 173, 200
Light pink, 220, 144, 149
Light brick yellow, 240, 213, 160
Warm yellowish orange, 235, 184, 127
Cool yellow, 253, 234, 140
Dove blue, 125, 187, 221
Medium lilac, 52, 43, 117
Transparent, 236, 236, 236
Tr. Red, 205, 84, 75
Tr. Lg blue, 193, 223, 240
Tr. Blue, 123, 182, 232
Tr. Yellow, 247, 241, 141
Tr. Flu. Reddish orange, 217, 133, 108
Tr. Green, 132, 182, 141
Tr. Flu. Green, 248, 241, 132
Phosph. White, 236, 232, 222
Tr. Brown, 191, 183, 177
Tr. Medi. reddish violet, 228, 173, 200
Tr. Bright bluish violet, 165, 165, 203
Neon orange, 213, 115, 61
Neon green, 216, 221, 86
Tr. Flu. Blue, 207, 226, 247
Tr. Flu. Yellow, 255, 246, 123
Tr. Flu. Red  , 225, 164, 194
Red flip/flop, 151, 105, 91
Yellow flip/flop, 180, 132, 85
Silver flip/flop, 137, 135, 136